composition,income,cum_sum,perc_sum
1 adult,21635,17125,0.34
1 adult,21718,17152,0.34
1 adult,21754,17162,0.34
1 adult,21754,17196,0.34
1 adult,21800,17203,0.34
1 adult,21856,17223,0.34
1 adult,21886,17235,0.34
1 adult,22000,17248,0.34
1 adult,22000,17258,0.34
1 adult,22096,17279,0.34
1 adult,22096,17291,0.34
1 adult,22096,17302,0.34
1 adult,22130,17314,0.34
1 adult,22132,17327,0.35
1 adult,22158,17341,0.35
1 adult,22158,17349,0.35
1 adult,22202,17362,0.35
1 adult,22235,17422,0.35
1 adult,22338,17427,0.35
1 adult,22365,17469,0.35
1 adult,22365,17484,0.35
1 adult,22469,17512,0.35
1 adult,22545,17526,0.35
