FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2023,411,809.98,612.00,0.00,244.80
2023,412,840.58,612.00,0.00,275.40
2023,413,612.00,612.00,0.00,46.82
2023,414,773.26,612.00,0.00,208.08
2023,415,809.98,612.00,0.00,244.80
2023,416,840.58,612.00,0.00,275.40
2023,417,624.00,624.00,0.00,47.74
2023,418,788.42,624.00,0.00,212.16
2023,419,825.86,624.00,0.00,249.60
2023,420,857.06,624.00,0.00,280.80
2023,421,624.00,624.00,0.00,47.74
2023,422,788.42,624.00,0.00,212.16
2023,423,825.86,624.00,0.00,249.60
2023,424,857.06,624.00,0.00,280.80
2023,425,636.00,636.00,0.00,48.65
2023,426,803.59,636.00,0.00,216.24
2023,427,841.75,636.00,0.00,254.40
2023,428,873.55,636.00,0.00,286.20
2023,429,636.00,636.00,0.00,48.65
2023,430,803.59,636.00,0.00,216.24
2023,431,841.75,636.00,0.00,254.40
2023,432,873.55,636.00,0.00,286.20
2023,433,648.00,648.00,0.00,49.57
2023,434,818.75,648.00,0.00,220.32
2023,435,857.63,648.00,0.00,259.20
2023,436,890.03,648.00,0.00,291.60
2023,437,648.00,648.00,0.00,49.57
2023,438,818.75,648.00,0.00,220.32
2023,439,857.63,648.00,0.00,259.20
2023,440,890.03,648.00,0.00,291.60
2023,441,660.00,660.00,0.00,50.49
2023,442,833.91,660.00,0.00,224.40
2023,443,873.51,660.00,0.00,264.00
2023,444,906.51,660.00,0.00,297.00
2023,445,660.00,660.00,0.00,50.49
2023,446,833.91,660.00,0.00,224.40
2023,447,873.51,660.00,0.00,264.00
2023,448,906.51,660.00,0.00,297.00
2023,449,672.00,672.00,0.00,51.41
2023,450,849.07,672.00,0.00,228.48
2023,451,889.39,672.00,0.00,268.80
2023,452,922.99,672.00,0.00,302.40
2023,453,672.00,672.00,0.00,51.41
2023,454,849.07,672.00,0.00,228.48
2023,455,889.39,672.00,0.00,268.80
2023,456,922.99,672.00,0.00,302.40
2023,457,684.00,684.00,0.00,52.33
2023,458,864.23,684.00,0.00,232.56
2023,459,905.27,684.00,0.00,273.60
2023,460,939.47,684.00,0.00,307.80
2023,461,684.00,684.00,0.00,52.33
2023,462,864.23,684.00,0.00,232.56
2023,463,905.27,684.00,0.00,273.60
2023,464,939.47,684.00,0.00,307.80
2023,465,696.00,696.00,0.00,53.24
2023,466,879.40,696.00,0.00,236.64
2023,467,921.16,696.00,0.00,278.40
2023,468,955.96,696.00,0.00,313.20
2023,469,696.00,696.00,0.00,53.24
2023,470,879.40,696.00,0.00,236.64
2023,471,921.16,696.00,0.00,278.40
2023,472,955.96,696.00,0.00,313.20
2023,473,708.00,708.00,0.00,54.16
2023,474,894.56,708.00,0.00,240.72
2023,475,937.04,708.00,0.00,283.20
