size,income,cum_sum,grouping
1,65231,29650,group
1,65237,29670,group
1,65363,29717,group
1,65974,29724,group
1,66100,29749,group
1,66188,29782,group
1,66267,29801,group
1,66331,29822,group
1,66385,29845,group
1,66681,29854,group
1,66815,29874,group
1,67000,29998,group
1,67020,30016,group
1,67222,30213,group
1,67302,30224,group
1,67342,30239,group
1,67406,30282,group
1,67815,30286,group
1,68130,30307,group
1,68256,30338,group
1,68394,30346,group
1,68581,30366,group
1,69269,30379,group
1,69291,30407,group
1,69446,30433,group
1,69449,30444,group
1,69500,30459,group
1,69762,30468,group
1,69787,30481,group
1,69959,30495,group
1,70000,30516,group
1,70325,30563,group
1,70408,30580,group
1,70498,30614,group
1,71237,30635,group
1,71491,30658,group
1,71550,30680,group
2,0,580,group
2,777,726,group
2,1158,754,group
2,1241,780,group
2,1263,818,group
2,1430,842,group
2,2485,870,group
2,2757,894,group
2,3000,948,group
2,3683,998,group
2,4654,1074,group
2,4800,1100,group
2,6205,1122,group
2,6843,1154,group
2,7239,1178,group
2,7455,1230,group
2,7559,1252,group
2,7766,1278,group
2,7869,1300,group
2,8067,1326,group
2,8283,1464,group
2,8375,1494,group
2,8500,1518,group
2,8791,1574,group
2,9132,1594,group
2,9257,1624,group
2,9308,1720,group
2,9470,1746,group
2,9891,1772,group
2,10000,1796,group
2,10213,1830,group
2,10396,1846,group
2,10522,1882,group
2,10549,1954,group
2,10724,2010,group
2,10930,2056,group
2,11048,2086,group
2,11169,2110,group
2,11172,2138,group
2,11200,2168,group
2,11234,2182,group
2,11376,2230,group
2,11400,2248,group
2,11421,2274,group
2,11574,2330,group
2,11583,2362,group
2,11907,2408,group
2,12256,2528,group
2,12300,2544,group
2,12320,2584,group
2,12400,2608,group
2,12410,2732,group
2,12425,2782,group
2,12521,2808,group
2,12824,2866,group
2,12971,2896,group
2,13047,2934,group
2,13153,3000,group
2,13363,3028,group
2,13460,3054,group
2,13468,3146,group
2,13651,3156,group
2,13679,3258,group
2,14094,3312,group
2,14185,3340,group
2,14298,3356,group
2,14375,3388,group
2,14400,3410,group
2,14479,3456,group
2,14520,3480,group
2,14626,3508,group
2,14703,3538,group
2,14800,3564,group
2,14892,3580,group
2,15000,3670,group
2,15014,3762,group
2,15047,3812,group
2,15162,3894,group
2,15320,3908,group
2,15600,3936,group
2,15678,3962,group
2,15783,4136,group
2,15823,4172,group
2,15926,4244,group
2,15945,4268,group
2,16000,4320,group
2,16034,4360,group
2,16049,4402,group
2,16111,4442,group
2,16133,4468,group
2,16341,4552,group
2,16835,4580,group
2,16852,4656,group
2,16941,4702,group
2,17046,4764,group
2,17064,4778,group
2,17188,4814,group
2,17256,4908,group
2,17260,4956,group
2,17291,4972,group
2,17500,4982,group
2,17581,5008,group
2,17700,5070,group
2,18000,5266,group
2,18100,5340,group
2,18383,5458,group
2,18519,5476,group
2,18588,5518,group
2,18615,5672,group
2,18719,5696,group
2,18926,5750,group
2,18940,5798,group
2,19045,5828,group
2,19132,6052,group
2,19259,6126,group
2,19303,6150,group
2,19350,6196,group
2,19405,6220,group
2,19443,6274,group
2,19466,6306,group
2,19546,6332,group
2,19650,6420,group
2,19676,6470,group
2,19782,6484,group
2,19887,6514,group
2,20018,6544,group
2,20120,6584,group
2,20191,6650,group
2,20426,6970,group
2,20518,7018,group
2,20580,7034,group
2,20631,7062,group
2,20684,7088,group
2,20708,7324,group
2,20709,7358,group
2,20732,7402,group
2,20787,7426,group
2,20915,7450,group
2,20994,7474,group
2,21044,7566,group
2,21098,7624,group
2,21200,7648,group
2,21226,7676,group
2,21247,7720,group
2,21297,7754,group
2,21304,7782,group
2,21325,7806,group
2,21547,7858,group
2,21718,7944,group
2,21827,7994,group
2,21856,8020,group
2,21886,8068,group
2,21951,8102,group
2,22096,8258,group
2,22132,8312,group
2,22338,8358,group
2,22517,8430,group
2,22623,8460,group
2,22752,8508,group
2,22779,8750,group
2,22800,8784,group
2,22833,8828,group
2,22877,8858,group
2,22900,8898,group
2,23043,8946,group
2,23090,8990,group
2,23100,9016,group
2,23149,9060,group
2,23269,9098,group
2,23455,9146,group
2,23490,9162,group
2,23504,9236,group
2,23607,9280,group
2,23675,9320,group
2,23700,9368,group
2,23786,9416,group
2,23800,9522,group
2,23815,9564,group
2,23885,9596,group
2,23899,9624,group
2,23993,9674,group
2,24000,9868,group
2,24096,9896,group
2,24103,9944,group
2,24205,9974,group
2,24229,10024,group
2,24400,10046,group
2,24600,10088,group
2,24613,10112,group
2,24614,10160,group
2,24643,10224,group
2,24800,10292,group
2,24818,10354,group
2,24820,10380,group
2,24850,10528,group
2,25000,10646,group
2,25053,10678,group
2,25379,10722,group
2,25500,10748,group
2,25533,10800,group
2,25720,10848,group
2,25779,10884,group
2,25782,10916,group
2,25885,11044,group
2,25958,11070,group
2,25989,11116,group
2,26000,11144,group
2,26196,11158,group
2,26300,11194,group
2,26305,11254,group
2,26372,11270,group
2,26455,11294,group
2,26516,11366,group
2,26554,11460,group
2,26621,11486,group
2,26785,11510,group
2,26921,11548,group
